eatery_adddress eatery_cost eatery_cuisine eatery_id eatery_name eatery_F_M_Station  eatery_S_M_Station  eatery_highlights eatery_buffet_price eatery_buffet_details eatery_photos eatery_should_order eatery_popular_reviews eatery_trending eatery_opening_hours eatery_coordinates eatery_rating  eatery_wishlists eatery_title eatery_url converted_epoch eatery_id review_likes review_summary review_text review_time review_url scraped_epoch user_followers user_id user_name user_reviews user_url
     distance name distance name          rating votes              
 Costfor2:Rs.800 "North Indian, Continental, Fast Food" 308196 "The Munchbox"     "[u'Home Delivery', u'Dine-In Not Available', u'Serves Non Veg', u'Bar Not Available', u'Air Conditioned']"   True  8 "[u'Late Night Eats']" "7 PM to 03:30 AM" 28.5971166667,77.0493166667 4.4 "82 votes" Excellent 105 https://www.zomato.com/ncr/the-munchbox-malviya-nagar-delhi  308196
                      1409569342 540452400d0cee69ad0ae1ac 716765 1052210 23 "Utpal Jyoti Sut" https://www.zomato.com/users/utpal-jyoti-sut-716765 "Perfect food,  I'd have to admit! My sister been there today and brought home my favorites.  I'm enjoying it now as I'm posting.  Superb menu with wide range of cuisines to go with.  Yum,  yum!Honestly I'd love to try them all. Though some names are not familiar.Packed in perfect enclosure,  fresh till home though I reside far away from the destination.  For small home parties when not interested to cook -  would definitely be a perfect choice.Bottom line: -  I don't have a different place in mind after the service offered as described by my sister.  Waiting to visit on my own ASAP." 308196 "2014-07-30 04:26:30" 1 Legendary https://www.zomato.com/review/BddpP 4 1406674590.0
                      1409569342 540452400d0cee69ad0ae1ad 2174082 1051672 4 Mrinal.saikia https://www.zomato.com/users/mrinalsaikia-2174082 "So i ordered food from The munchbox on my wife's b'day... Nd this magical box was full of surprises!!! The first shocker(a pleasant one) was the bill...we ordered food for a group of 8-10 ppl...nd the bill amount was just close to two grands!!! And trust me ordered a loooottt of food..from the starters(tikkas nd all) to pasta..to main course and what not!!! In addition to what we ordered they sent us a complimentary salad nd a brownie with a happy b'day message on the box.. Coz i did mention that it was my wife's b'day hoping that they would deliver quickly... which they did...but complimentary brownie and the salad were definitely the icing on the cake!! It is nice to know that ppl still care about lil things that matter....now if i talk about the food...it was all very delicious...my wife loved the chikonara pasta and the double tadka daal...my personal favt were the hariyaali kabab...biryaani..nd we all loved the makhmali naan... Definitely a welcome change...read more" 308196 "2014-07-29 23:28:11" 1  https://www.zomato.com/review/gKOOR 4 1406656691.0
                      1409569342 540452400d0cee69ad0ae1ae 1705419 1048899 0 Vivek https://www.zomato.com/users/vivek-1705419 "Mr. Jaiswal it has been a very bad experience. Munchbox is responsible for me sleeping on an empty stomach today.Firstly, when i ordered the person on the other end explained to me very patiently that they did not have much beverage choice today and finally I ordered the only choice available, a cold drink.The delivery boy lost his way at 3:00 am in the morning and delivered to me at around 3:40 am. I live approximately 1.5 kms from their outlet and a delivery time of 10 mins was more than sufficient given that it was 3 in the morning.I was angry but, hunger had made me overlook the late delivery. But, SUPRISE!!!Now, the person taking the order had forgotten all about the cold drink.This was just not making sense to me now. I called the management and they promised me a cold drink would be at my doorstep in 5 minutes. Well, it arrived at 4 am .A total response time of approximately 80-90 minutes from taking the order to reaching my doorstep was just...read more" 308196 "2014-07-29 04:29:51" 2  https://www.zomato.com/review/POxzN 1 1406588391.0
                      1409569342 540452400d0cee69ad0ae1af 205216 1047917 52 "Saniya Puniani" https://www.zomato.com/users/saniya-puniani-205216 "Honestly.. You want the the tastiest food at the oddest time.. Because that's when you are eating to actually satiate your cravings.. And Munchbox gives you exactly that. Bored, rather not satisfied with all the other late night deliveries sprouting up in the city, we decided to give this new place a try. Going by their impressive menu, we genuinely hoped for the food to be good. We ordered the chikonara pasta, Moroccan lamb, garlic bread with cheese, malai tikka roll ( which stood out from the million other rolls served all across the city) and the chicken and grape salad. Verdict- it was all sooo good!!! With their pasta and salad menu, I don't think I will go to big chill anymore, and that's a big decision.Great going Munchbox!!! All the best!!" 308196 "2014-07-28 20:37:21" 2 Legendary https://www.zomato.com/review/AQLBn 4 1406560041.0
                      1409569342 540452400d0cee69ad0ae1b0 508 1044537 9 "Debadideb Datta" https://www.zomato.com/debadideb "The food is very good. We ordered the Nicoise Salad and the Fillet Mignon Cobb Salad ... both were excellent ... portions are filling. Only reason I am not giving them a 5 is that the delivery was very slow. I hope that my case was an exception." 308196 "2014-07-27 20:45:31" 14 Excellent https://www.zomato.com/review/obKKp 2 1406474131.0
                      1409569342 540452400d0cee69ad0ae1b1 1268812 1043136 20 "Karan Khemani" https://www.zomato.com/users/karan-khemani-1268812 "Had food yesterday from munch box .And I was left speechless when I was eating .The food is too good and simply amazingMuch box team please keep it this way for times to come" 308196 "2014-07-27 13:28:40" 2 Legendary https://www.zomato.com/review/GeXoQ 2 1406447920.0
                      1409569342 540452400d0cee69ad0ae1b2 3197945 1038933 6 "Roopali Gupta" https://www.zomato.com/users/roopali-gupta-3197945 "Loved the mac &amp; cheese and corn/avocado salad!!! Big portions..total value for money!!! Will definetly order again... Good job guyz!!!" 308196 "2014-07-26 00:10:37" 1 Legendary https://www.zomato.com/review/dazRb 2 1406313637.0
                      1409569342 540452400d0cee69ad0ae1b3 3152772 1037727 4 "Prateek Jaiswal" https://www.zomato.com/users/prateek-jaiswal-3152772  308196 "2014-07-25 16:20:34" 1 Legendary https://www.zomato.com/review/pLEpE 1 1406285434.0
                      1409569342 540452400d0cee69ad0ae1b4 1692342 1036298 6 "Dipti Kapoor Arora" https://www.zomato.com/users/dipti-kapoor-arora-1692342 "When it's a Saturday and u really want some appetizing food which will give you a toothsome feeling. you should have munch box on ur speed dial then like me and my husband has .So to start with we both have to decide for the evening since it's the time to relax and u need some great food to endeavor ur evening. So , I started if my supper with Fish and Chips which was perfectly cooked and seems to be real fresh . moving on to the dressing and toppings we ordered Beetroot and apple salad , I mean that was just too good . A perfect blend of both in a honey dressing with a little punch if lemon was a gourmet.now at last we had Mac and Cheese which was really sapid  and rich in taste.so overall ,all the stars to the team cuz it has a secret which will make u munching the food and u will surely order their boxes again .CHEERS..!!! Looking forward for more." 308196 "2014-07-25 00:40:59" 1 Legendary https://www.zomato.com/review/yPOwO 2 1406229059.0
                      1409569342 540452400d0cee69ad0ae1b5 3186602 1035054 3 "Rahul Gulati" https://www.zomato.com/users/rahul-gulati-3186602 "The Munchbox!!! One of the the upcoming brand which you guys will see in not a few months but in a few week. Food is awsum and is delivered on the committed time. Cheers munchbox team for giving us this brand and hope that u guys grow with all the success." 308196 "2014-07-24 16:25:03" 1 Legendary https://www.zomato.com/review/LBzaB 2 1406199303.0
